#RPLIDAR SCAN DATA
#COUNT=1039
#Angule	Distance	Quality
327.5739	 197.0	 188
327.9364	 196.0	 188
328.3099	 195.0	 188
328.6230	 195.0	 188
328.9362	 194.0	 188
329.3097	 193.0	 188
329.6832	 192.0	 188
329.9963	 192.0	 188
330.3094	 191.0	 188
330.6830	 190.0	 188
330.9961	 190.0	 188
331.3696	 189.0	 188
331.6827	 189.0	 188
331.9958	 188.0	 188
332.3584	 187.0	 188
332.6825	 187.0	 188
333.0450	 186.0	 188
333.3746	 186.0	 188
333.6823	 185.0	 188
333.9954	 185.0	 188
334.3579	 184.0	 188
334.7314	 183.0	 188
335.0446	 183.0	 188
335.4181	 182.0	 188
335.7312	 182.0	 188
336.0443	 182.0	 188
336.3574	 181.0	 188
336.7310	 180.0	 188
337.0441	 180.0	 188
337.3572	 180.0	 188
337.7307	 179.0	 188
338.0438	 179.0	 188
338.4174	 178.0	 188
338.7305	 178.0	 188
339.0436	 177.0	 188
339.3567	 177.0	 188
339.6863	 177.0	 188
340.0433	 176.0	 188
340.3564	 176.0	 188
340.7300	 175.0	 188
341.0431	 175.0	 188
341.3562	 175.0	 188
341.7297	 174.0	 188
342.0428	 174.0	 188
342.3560	 174.0	 188
342.7295	 173.0	 188
343.0426	 173.0	 188
343.3557	 173.0	 188
343.6853	 173.0	 188
343.9984	 172.0	 188
344.3115	 172.0	 188
344.6246	 172.0	 188
344.9982	 171.0	 188
345.3113	 171.0	 188
345.6244	 171.0	 188
345.9979	 170.0	 188
346.3110	 170.0	 188
346.6241	 170.0	 188
346.9373	 170.0	 188
347.2449	 170.0	 188
347.6239	 169.0	 188
347.9370	 169.0	 188
348.2446	 169.0	 188
348.5577	 169.0	 188
348.8873	 169.0	 188
349.2499	 168.0	 188
349.5575	 168.0	 188
349.8871	 168.0	 188
350.2002	 168.0	 188
350.5133	 168.0	 188
350.8868	 167.0	 188
351.2000	 167.0	 188
351.5131	 167.0	 188
351.8262	 167.0	 188
352.1393	 167.0	 188
352.4524	 167.0	 188
352.7655	 167.0	 188
353.0896	 167.0	 188
353.4521	 166.0	 188
353.7762	 166.0	 188
354.0894	 166.0	 188
354.4025	 166.0	 188
354.7156	 166.0	 188
355.0287	 166.0	 188
355.3418	 166.0	 188
355.6549	 166.0	 188
355.9790	 166.0	 188
356.2921	 166.0	 188
356.6052	 166.0	 188
356.9183	 166.0	 188
357.2314	 166.0	 188
357.5446	 166.0	 188
357.8577	 166.0	 188
358.2312	 165.0	 188
358.5443	 165.0	 188
358.8574	 165.0	 188
359.1870	 165.0	 188
359.4946	 165.0	 188
359.8077	 165.0	 188
